word,period1,period2,occ1,occ2,degree,score_word2vec,score_camembert,score_dalembert
croira,1700-1710,1740-1750,97,261,5684,0.5496,0.5519,0.2563
auparavant,1700-1710,1720-1730,1384,1995,5712,0.5494,0.0892,0.6377
christianisme,1720-1730,1730-1740,155,135,5639,0.5493,0.3315,0.2213
merveilles,1710-1720,1750-1760,308,524,5691,0.5484,0.2707,0.0872
peinture,1750-1760,1789-1802,2378,1413,5707,0.5475,0.5555,0.2316
froids,1720-1730,1730-1740,112,162,5691,0.5469,0.4708,0.3403
aspect,1770-1780,1789-1802,402,827,5674,0.5445,0.073,0.1005
reposer,1710-1720,1750-1760,333,467,5694,0.5435,0.2866,0.0909
barbe,1720-1730,1760-1770,372,740,5687,0.5433,0.0568,0.2572
courir,1730-1740,1740-1750,1060,1409,5709,0.5432,0.1163,0.1606
tienne,1700-1710,1720-1730,308,288,5701,0.5429,0.0202,0.0977
vingts,1700-1710,1789-1802,772,627,5680,0.5428,0.981,0.9906
nôtre,1720-1730,1780-1789,5212,2016,5709,0.5424,0.9856,0.9884
paul,1720-1730,1740-1750,1587,1698,5710,0.5417,0.8167,0.9208
continuer,1710-1720,1740-1750,820,1401,5703,0.5414,0.251,0.1379
paquet,1710-1720,1789-1802,215,768,5656,0.5395,0.6012,0.825
jefus,1730-1740,1770-1780,699,561,5479,0.539,0.6293,0.6286
connaître,1710-1720,1730-1740,529,530,5691,0.5381,0.6487,0.6265
foudre,1710-1720,1770-1780,342,1638,5703,0.5373,0.2728,0.4755
parent,1720-1730,1789-1802,356,1478,5704,0.5355,0.1717,0.3095
pourvu,1710-1720,1760-1770,1178,3615,5708,0.5354,0.5436,0.407
tiroit,1700-1710,1789-1802,199,766,5685,0.5347,0.5191,0.2072
contiennent,1700-1710,1710-1720,227,346,5701,0.5317,0.3679,0.566
environné,1710-1720,1760-1770,205,387,5688,0.5316,0.5819,0.1345
deuxième,1730-1740,1789-1802,208,2983,5685,0.5312,0.8466,0.9836
résolution,1770-1780,1789-1802,1938,3206,5698,0.5309,0.5608,0.1684
siecle,1740-1750,1750-1760,475,845,5686,0.5305,0.972,0.2451
ajouté,1700-1710,1710-1720,190,176,5702,0.5287,0.229,0.4388
lorraine,1730-1740,1750-1760,917,3017,5681,0.5287,0.8082,0.576
poisson,1700-1710,1710-1720,495,1517,5687,0.528,0.5758,0.5516
écrire,1710-1720,1720-1730,775,822,5716,0.5279,0.1739,0.2206
informer,1700-1710,1710-1720,198,287,5690,0.5272,0.0836,0.2743
tirée,1700-1710,1710-1720,480,723,5707,0.5263,0.3792,0.5978
rent,1700-1710,1740-1750,1036,2482,5701,0.5248,0.7602,0.7807
utile,1730-1740,1750-1760,1949,3766,5715,0.5242,0.2797,0.0541
manuscrit,1770-1780,1780-1789,1447,1760,5699,0.5232,0.0617,0.0272
former,1710-1720,1740-1750,1344,3047,5718,0.5227,0.2102,0.2227
emploi,1770-1780,1780-1789,2266,2508,5711,0.5224,0.0082,0.016
laissons,1710-1720,1750-1760,229,449,5686,0.522,0.4995,0.3195
suivante,1730-1740,1780-1789,1856,3228,5707,0.5208,0.295,0.7138
