word,period1,period2,occ1,occ2,degree,score_word2vec,score_camembert,score_dalembert
fondit,1700-1710,1789-1802,105,179,,0.9592,0.993,
mouvans,1710-1720,1789-1802,214,65,,0.9591,,
refe,1730-1740,1770-1780,93,303,,0.959,0.2953,
d'oeil,1760-1770,1789-1802,1285,1474,,0.959,,
pafle,1710-1720,1720-1730,59,136,,0.9589,0.1736,
enten,1710-1720,1760-1770,82,186,,0.9588,0.0611,
d'entreprendre,1700-1710,1710-1720,85,197,,0.9587,,
tonner,1700-1710,1789-1802,61,293,,0.9586,0.2192,
revolution,1740-1750,1789-1802,82,1168,,0.9585,,
loy,1730-1740,1789-1802,643,122,,0.9583,,
l'as,1700-1710,1789-1802,169,990,,0.9579,,
virginie,1710-1720,1780-1789,61,1123,,0.9579,0.6549,
adroitement,1760-1770,1780-1789,410,755,,0.9578,0.777,
bru,1710-1720,1730-1740,61,274,,0.9577,0.2903,
l'egard,1740-1750,1770-1780,194,96,,0.9576,,
encourage,1710-1720,1789-1802,60,324,,0.9576,0.0843,
omme,1700-1710,1760-1770,209,210,,0.9574,0.2081,
inon,1710-1720,1750-1760,152,93,,0.9573,0.1416,
l'ex,1700-1710,1720-1730,162,212,,0.9571,,
auifi,1720-1730,1730-1740,109,110,,0.957,0.0777,
ibidem,1740-1750,1760-1770,896,212,,0.9569,,
d'af,1720-1730,1740-1750,71,159,,0.9568,,
rieux,1720-1730,1740-1750,118,235,,0.9564,0.4331,
vraisemblance,1720-1730,1730-1740,82,309,,0.9562,0.8838,
ché,1720-1730,1770-1780,211,1254,,0.9561,0.4769,
fal,1710-1720,1730-1740,52,290,,0.956,0.9872,
inf,1700-1710,1760-1770,99,471,,0.9559,0.2716,
casse,1700-1710,1720-1730,82,149,,0.9557,0.5444,
sal,1700-1710,1730-1740,528,251,,0.9554,0.0907,
volontaires,1710-1720,1789-1802,92,1562,,0.9553,0.9282,
lage,1700-1710,1789-1802,65,260,,0.9552,0.6116,
dars,1710-1720,1720-1730,62,92,,0.9551,0.1121,
tiroir,1710-1720,1750-1760,90,134,,0.9551,0.1648,
theatre,1700-1710,1760-1770,165,81,,0.955,,
d'aix,1750-1760,1760-1770,343,429,,0.9548,,
prime,1700-1710,1730-1740,200,76,,0.9548,,
descartes,1780-1789,1789-1802,250,323,,0.9547,0.0569,
quit,1710-1720,1780-1789,86,436,,0.9545,0.5858,
réduction,1720-1730,1730-1740,155,217,,0.9544,0.3088,
nour,1700-1710,1740-1750,130,195,,0.9542,0.1546,
convie,1720-1730,1740-1750,58,77,,0.9541,0.0045,
préalablement,1720-1730,1780-1789,87,384,,0.9537,0.473,
rais,1700-1710,1789-1802,75,634,,0.9536,0.3457,
fouiller,1730-1740,1770-1780,125,487,,0.9535,0.0257,
citez,1720-1730,1770-1780,249,141,,0.9534,0.9908,
fauves,1730-1740,1780-1789,86,368,,0.9533,0.5927,
travaillant,1710-1720,1720-1730,112,123,,0.9531,0.0786,
sim,1710-1720,1789-1802,220,405,,0.953,0.3004,
marquez,1710-1720,1789-1802,255,62,,0.9529,,
hist,1730-1740,1789-1802,1540,310,,0.9528,0.4279,
mariés,1710-1720,1730-1740,89,107,,0.9526,0.2112,
chantre,1720-1730,1789-1802,355,170,,0.9526,0.9881,
ments,1700-1710,1780-1789,56,506,,0.9523,0.8085,
sincere,1710-1720,1780-1789,65,157,,0.9523,0.7482,
folides,1750-1760,1789-1802,328,176,,0.9522,0.2046,
couronner,1720-1730,1789-1802,198,362,,0.9521,0.861,
s'agit,1710-1720,1730-1740,1196,2273,,0.952,,
tement,1700-1710,1789-1802,142,639,,0.9519,0.5237,
boileau,1710-1720,1789-1802,205,720,,0.9518,0.9438,
triment,1710-1720,1789-1802,125,367,,0.9516,0.2578,
defrance,1730-1740,1740-1750,87,97,,0.9516,,
retrait,1720-1730,1740-1750,54,337,,0.9514,,
navale,1740-1750,1789-1802,122,282,,0.9513,,
eflt,1700-1710,1760-1770,53,126,,0.9512,0.6325,
mire,1730-1740,1789-1802,94,360,,0.951,0.0237,
exhorte,1710-1720,1730-1740,85,158,,0.9509,0.7481,
lutte,1730-1740,1789-1802,111,890,,0.9508,0.9489,
retirant,1730-1740,1740-1750,173,202,,0.9507,0.7923,
tracer,1720-1730,1730-1740,113,162,,0.9506,0.186,
répondant,1700-1710,1740-1750,56,111,,0.9505,0.6423,
secher,1720-1730,1789-1802,302,228,,0.9504,0.998,
d'homme,1700-1710,1740-1750,185,343,,0.9503,,
l'occupation,1700-1710,1710-1720,51,78,,0.9502,,
mira,1710-1720,1789-1802,72,160,,0.9501,0.6227,
s'amuser,1720-1730,1730-1740,70,123,,0.95,,
audessus,1710-1720,1730-1740,71,141,,0.9499,0.6775,
entendant,1720-1730,1760-1770,84,200,,0.9498,0.6176,
toison,1710-1720,1760-1770,165,231,,0.9498,,
devenant,1700-1710,1710-1720,53,88,,0.9496,0.472,
s'ouvrir,1700-1710,1710-1720,69,82,,0.9495,,
l'appui,1720-1730,1789-1802,96,1264,,0.9495,,
chauds,1710-1720,1770-1780,468,1136,,0.9494,0.9961,
touc,1700-1710,1750-1760,81,150,,0.9493,0.6865,
gouver,1700-1710,1780-1789,67,949,,0.9491,0.2496,
regagner,1710-1720,1789-1802,74,337,,0.9491,0.3531,
nui,1700-1710,1780-1789,131,824,,0.949,0.5022,
sujer,1700-1710,1710-1720,76,101,,0.9488,0.1255,
mant,1730-1740,1760-1770,187,178,,0.9485,0.2255,
occupez,1710-1720,1789-1802,131,128,,0.9484,,
qualite,1700-1710,1789-1802,281,486,,0.9483,,
cond,1710-1720,1789-1802,88,1471,,0.9481,0.8718,
pairie,1780-1789,1789-1802,323,383,,0.9481,0.1029,
s'avancer,1700-1710,1789-1802,63,338,,0.948,,
