mot_cible,nb_ancres,ancres
aisement,4,"facilement, épaisse, épais, superficie"
aisé,13,"difficile, facile, inutile, necessaire, capable, possible, permis, obligé, évident, dangereux, obligée, étonné, faudroit"
aisée,11,"facile, difficile, importante, courte, claire, délicate, curieuse, aisé, meilleure, surprenante, nette"
aisément,7,"facilement, vîte, difficiles, aisé, facile, vite, commodément"
ajouta,14,"s'écria, reprit, repliqua, répondit, poursuivit, repartit, interrompit, répliqua, repondit, disoit, continua, s'adressant, disait, répondis"
ajoute,7,"explique, prétend, remarque, considere, appelle, nomme, dira"
ajoutent,13,"disoient, entendent, enseignent, appellent, disent, prétendent, croyent, écrivent, trompent, condamnent, rejettent, s'imaginent, ignorent"
ajouter,15,"conclure, avouer, remarquer, s'imaginer, esperer, prouver, rapporter, expliquer, employer, s'étonner, appliquer, répondre, attendre, êtrc, apporter"
ajoutez,10,"mêlez, trouverez, prendrez, mettrez, mettez, prenez, donnerez, ôtez, tirez, donnez"
ajouté,16,"rapporté, répondu, remarqué, raconté, demandé, enseigné, reçu, apporté, tiré, apris, examiné, consenti, prouvé, retranché, trouvé, conservé"
ajoutée,12,"secretaires, l'original, conseillers, huissier, signifié, notoire, copies, sergent, stable, original, originaux, bone"
alarmes,10,"ennuis, soupirs, souhaits, serments, douleurs, larmes, ardeurs, cris, mortelles, amours"
albert,5,"robert, henri, charles, leon, bâtard"
alexandre,8,"d'alexandre, pontife, constantin, henri, pontificat, surnommé, léon, empereur"
alexandrie,5,"grece, afrique, italie, caire, constantinople"
alfez,8,"assez, assés, extremement, trés, trop, fort, trcs, très"
aliis,6,"nostra, semper, vitam, eorum, locum, quorum"
alimens,14,"humeurs, pores, fibres, nerfs, vapeurs, organes, remedes, l'urine, intestins, animaux, odeurs, l'estomac, viandes, maladies"
alio,7,"aliquo, aliter, hominum, nullo, habeat, dicere, possit"
alios,3,"alias, locum, vitam"
aliquid,6,"igitur, quidquid, quoniam, plura, haec, verbis"
aliquo,4,"alio, aliter, potuit, licet"
aliter,7,"fieri, licet, videntur, potuit, tanti, alio, possit"
aliud,5,"ergo, potest, verum, quidquid, illud"
aliénation,9,"renonciation, convention, clause, aion, acquisition, obligation, quittance, dette, ation"
alla,34,"retourna, vint, revint, l'envoya, retira, conduisit, allant, quitta, sortit, courut, alloit, mena, s'arrêta, entra, j'allai, envoya, pria, chargea, l'obligea, partit, descendit, accourut, suivit, rencontra, porta, commença, voulut, passa, allait, résolut, allèrent, pressa, vinrent, allerent"
allait,25,"voulait, venait, faisait, pouvait, fallait, savait, pourrait, devait, croyait, alloit, passait, voudrait, commençait, voyait, fallut, n'osa, trouvait, était, voulut, parlait, alla, pressa, pensa, saurait, demandait"
allant,22,"alla, retourna, rencontra, courut, revenant, arrivant, allèrent, revint, partit, conduisit, mena, j'allai, s'arrêta, marcha, retourner, sortant, s'avança, aller, allerent, carrosse, allé, allait"
allarmes,7,"soupirs, ennuis, mortelles, souhaits, ondes, ardeurs, douleurs"
allemagne,17,"d'italie, flandres, italie, moscovie, l'archiduc, brabant, flandre, espagne, catalogne, angleterre, dauphiné, l'espagne, cologne, hollande, savoie, suede, florence"
allemand,3,"traduit, latin, normand"
aller,28,"retourner, l'aller, d'aller, mener, passer, revenir, partir, demeurer, s'embarquer, marcher, envoyer, allant, aborder, sortir, retirer, approcher, courir, loger, arriver, quitter, embarquer, emporter, conduire, reposer, venir, j'irai, descendre, promener"
allerent,14,"vinrent, allèrent, sortirent, alloient, trouverent, virent, mirent, jetterent, trouvèrent, voulurent, entrerent, prirent, crurent, firent"
allez,18,"venez, attendez, laissez, préparez, partez, pourriez, voulez, vais, cherchez, pouvez, fuyez, allons, deviez, sortez, achevez, puissiez, vouliez, priez"
alliance,8,"union, amitié, l'union, liaison, inscription, ambassade, trêve, paix"
alliances,4,"guerres, aions, conditions, couronnes"
alliez,8,"ennemis, etats, voisins, troupes, ambassadeurs, armées, corsaires, espagnols"
allions,21,"irons, voulions, fimes, fîmes, pourrons, pouvions, devions, serons, arrivâmes, fûmes, serions, fumes, saisions, eûmes, trouvâmes, pourrions, vîmes, ferions, ferons, étions, puissions"
allié,10,"parent, ennemi, oncle, chretien, d'efpagne, etat, gendre, ayeul, héritier, affranchi"
alliés,6,"alliez, ennemis, voisins, etats, ambassadeurs, armées"
alloient,14,"allerent, trouverent, virent, travailloient, faisoient, vinrent, sortirent, devoient, crurent, vouloient, voulurent, pouvoient, allèrent, voudroient"
alloit,26,"venoit, vouloit, allait, vint, devoit, alla, commençoit, voulut, pensa, pouvoit, faisoit, craignoit, commença, fallut, venait, falloit, résolut, l'obligea, pria, croyoit, viendroit, prioit, voyoit, voulût, favoit, prétendoit"
allons,23,"courons, pourrons, ferons, venez, puissions, irons, aurons, vais, voulions, devions, cherchons, pourrions, faisons, venons, verrons, pouvions, serons, allez, pouvons, attends, veux, allions, viens"
allume,4,"brûle, allumé, prépare, fumée"
allumer,4,"brûle, allumé, fondre, fumée"
allumé,6,"allumée, brûlé, brûle, fumée, dérobé, jetté"
allumée,11,"allumé, furieuse, fenêtre, ouverte, lampe, boëte, enfermée, enfermé, fermée, fumée, jettée"
allusion,12,"grec, fignifie, virgile, servius, latin, horace, harangue, mention, plutarque, poëte, accroire, fignifier"
allèrent,15,"allerent, sortirent, trouvèrent, vinrent, entrerent, mirent, alloient, virent, voulaient, trouverent, voulurent, jetterent, alla, firent, vont"
allé,24,"venu, retourné, arrivé, sorti, entré, l'aller, demeuré, alla, absent, descendu, averti, j'allai, l'envoya, enfermé, allant, retourna, venue, résolu, couché, tombé, d'aller, arrivant, vint, aller"
allée,10,"galerie, fenêtre, salle, plaine, muraille, voute, enfermée, cage, fosse, couchée"
