mot_cible,nb_ancres,ancres
amené,20,"rencontré, apporté, quitté, retiré, commandé, demandé, envoyé, refusé, volé, acheté, sauvé, mandé, conté, fauvé, raconté, appris, répondu, mené, apris, offert"
ames,12,"souffrances, consciences, anges, miseres, prieres, tentations, coeurs, martyrs, créatures, oeuvres, idoles, inclinations"
amie,18,"maîtresse, tante, humeur, gouvernante, mari, amitié, epouse, soeur, chere, hôte, mère, nièce, comtesse, nourrice, affliction, dame, aventure, parente"
amies,10,"compagnes, galanteries, soeurs, camarades, maîtresses, amis, frères, avantures, filles, freres"
amiral,18,"l'amiral, commandant, lieutenant, flotte, colonel, capitaine, navale, escadre, pavillon, capitaines, commandoit, officier, lieutenans, régiment, général, commandée, ambassadeur, maréchaux"
amis,13,"camarades, parens, amies, frères, domestiques, disciples, freres, conseils, complimens, courtisans, compagnes, serviteurs, souhaits"
amitié,11,"union, intelligence, alliance, ardeur, liaison, familiarité, inclination, affliction, d'amitié, humilité, epouse"
amore,4,"nostra, videre, vitam, hanc"
amour,12,"hymen, l'amour, epoux, amant, rival, destin, coeur, courroux, emportement, l'hymen, d'amour, trépas"
amoureuse,5,"amoureux, laide, charmante, nymphe, infidèle"
amoureux,7,"charmante, charmant, amant, galant, infidèle, maîtresse, amours"
amours,18,"nymphes, amants, concerts, soupirs, souhaits, chantons, bergers, ennuis, voeux, compagnes, momus, diane, amans, choeurs, bacchus, plaisirs, galanteries, satyres"
ample,10,"curieuse, importante, amplement, particuliere, claire, courte, curieuses, subtile, délicate, amples"
amplement,12,"clairement, ample, amples, expliqué, traité, importantes, curieuse, intelligible, expliquée, curieuses, journal, courte"
amples,13,"claires, excellens, excellentes, simples, amplement, difficiles, importantes, curieuses, habiles, considerables, courtes, courts, clairs"
amsterdam,19,"hambourg, anvers, francfort, d'amsterdam, d'anvers, venise, cadix, londres, livourne, rochelle, négociant, usances, flor, genes, seville, change, rotterdam, banquier, d'hollande"
amuser,3,"divertir, entretenir, accommoder"
amène,3,"sortez, attends, fuyez"
ancien,15,"affranchi, manuscrit, fameux, nommé, celebre, distingué, avocat, payen, anciens, établi, auteur, clerc, illustre, judicieux, ancienne"
ancienne,9,"fameuse, nommée, appellée, illustre, établie, celebre, bâtie, origine, grecque"
anciennement,6,"autrefois, appellée, s'appelloit, appelloit, romains, appellé"
anciennes,5,"constitutions, particulières, histoires, établies, réelles"
ancienneté,6,"origine, excellence, extraction, ayeul, dignité, élection"
anciens,16,"ciens, modernes, philosophes, ecrivains, savans, auteurs, latins, payens, orientaux, romains, grecs, poëtes, théologiens, sculpteurs, juifs, profanes"
ancres,9,"cables, voiles, chaloupes, chevilles, aîles, filets, planches, barres, cordages"
ancêtres,8,"prédécesseurs, successeurs, disciples, peres, camarades, freres, compagnes, cadets"
andré,9,"martin, germain, bernard, bertrand, sulpice, michel, villiers, simon, abbé"
ange,16,"l'ange, michel, apôtre, prêtre, prophete, vierge, disciple, adam, pasteur, oracle, moine, sauveur, abraham, martyr, evangile, agneau"
anges,21,"saints, prophetes, apôtres, pasteurs, juifs, cieux, fideles, sacremens, payens, bienheureux, dieu, martyrs, disciples, vierges, idoles, autels, fidèles, prêtres, miracles, attributs, patriarches"
anglais,8,"espagnols, portugais, corsaires, maures, hollandois, anglois, jésuites, francois"
angles,6,"pointes, bouts, ronds, doigts, quarré, lignes"
angleterre,16,"hollande, d'angleterre, allemagne, l'angleterre, flandres, d'efpagne, suede, espagne, france, anglois, holland, flandre, l'amerique, moscovie, guinée, italie"
anglois,11,"hollandois, espagnols, francois, portugais, françois, corsaires, maures, protestans, l'amerique, etrangers, holland"
angloise,8,"l'amerique, francois, guinée, anglois, angleterre, holland, hollandois, françois"
angélique,8,"lisette, valère, lucile, merlin, frontin, bian, isabelle, bonjour"
anima,8,"vitam, ipse, unus, denique, semper, genus, patria, animi"
animal,10,"oiseau, instrument, agneau, arbre, incident, inconvenient, astre, accident, endroit, chien"
animaux,7,"oiseaux, bêtes, serpens, plantes, loups, poissons, cerfs"
animi,5,"videre, quidquid, animus, vitam, videntur"
animo,11,"nostra, hujus, ergo, videtur, hanc, illam, videntur, possit, vitam, verbis, animi"
animus,5,"quidquid, factum, locum, quoniam, verum"
annales,9,"mémoires, ecrivains, écrits, histoires, harangues, savans, dialogues, ecrits, memoires"
anne,10,"elizabeth, jeanne, catherine, marie, épousa, maria, robert, aînée, cadette, épousé"
anneau,14,"instrument, oeuf, doigt, habit, bague, épée, mouchoir, panier, ceinture, manche, vase, chapeau, oiseau, bâton"
anneaux,10,"chevilles, bâtons, pointes, cloux, ronds, queues, trous, filets, bouts, boutons"
anno,6,"regni, regis, apud, primo, alias, tunc"
annoncer,10,"célébrer, apprendre, adorer, demander, remercier, saluer, raconter, prier, avertir, presenter"
annoncé,16,"appris, raconté, apris, enseigné, rencontré, apporté, paru, répondu, témoigné, rapporté, offert, demandé, reçu, promis, mandé, donné"
annuel,6,"payant, revenu, remboursement, paye, arrérages, moyennant"
annuelle,5,"rente, arrérages, payée, revenu, pension"
annuellement,6,"augmentations, arrérages, millions, remboursement, recette, moyennant"
année,12,"l'année, d'octobre, saison, mois, novembre, janvier, septembre, journée, quinzaine, ordonnance, opération, colonie"
années,13,"semaines, heures, d'années, jours, mois, siecles, millions, guerres, momens, minorité, siécles, l'année, année"
anonyme,6,"author, intitulé, preface, recueil, traduit, manuscrit"
ante,9,"inde, diem, scilicet, alias, mortem, adhuc, eadem, eodem, tunc"
antique,3,"marbre, ornée, inscription"
antiques,15,"statues, peintures, sculpteurs, d'ornemens, ornemens, magnifiques, tableaux, reliefs, portraits, cabinets, marbre, figures, peintres, modernes, ciens"
antiquité,5,"étendue, invention, origine, eglise, ancienne"
antoine,5,"césar, marcellus, nicolas, lucius, d'antoine"
anvers,14,"francfort, hambourg, d'anvers, amsterdam, livourne, cadix, venise, seville, genes, d'amsterdam, flor, rochelle, reposée, lisbonne"
août,22,"octobre, avril, juin, juillet, novembre, septembre, février, janvier, d'août, fevrier, d'octobre, decembre, mardi, samedi, d'avril, vendredi, signée, rufien, fontainebleau, mars, rouen, arrêt"
apelle,12,"appelle, nomme, appelloit, éleve, l'appelle, employe, appellée, appellé, choisit, s'imagine, destine, prétend"
apercevoir,7,"accommoder, lasser, comprendre, étonner, paraître, approcher, prévaloir"
aperçu,7,"retourné, averti, avisé, informé, rencontré, retiré, diverti"
apollon,13,"jupiter, diane, bacchus, vulcain, junon, neptune, choeurs, déesse, minerve, nymphe, choeur, nymphes, momus"
apologie,10,"epître, éloge, relation, histoire, edition, invention, preface, remontrance, commentaire, ambassade"
apostolique,15,"l'eglise, chrétienne, théologie, catholique, prélat, eglise, sorbonne, sacrement, l'evangile, sainteté, pape, evêque, communion, gallicane, l'evêque"
appaiser,3,"arracher, guérir, venger"
appareil,18,"éclat, équipage, astre, ornement, orage, étonnement, affront, artifice, instrument, oiseau, hymen, habit, incident, éclaircissement, empressement, oracle, expédient, inconvénient"
apparemment,12,"cicéron, lentulus, affranchi, tribun, ciceron, brutus, caton, marcus, quintus, s'appelloit, préteur, servius"
apparence,6,"idée, conjecture, étendue, forte, incommodité, différence"
apparences,5,"occasions, choies, choses, regles, rencontres"
apparente,3,"infinie, égale, extreme"
appartement,19,"cabinet, carrosse, l'appartement, équipage, palais, logis, salle, habit, hôte, souper, hôtel, dîner, coffre, chambre, château, fauteuil, habillement, jardin, carosse"
appartenans,9,"provenans, proprietaires, redevances, héritages, dépendans, d'iceux, desdits, vendus, seigneuries"
appartenant,6,"comté, seigneurie, prieuré, dépendans, domaine, seigneuries"
appartenir,11,"êrre, ctre, étre, prétendre, êtrc, erre, préjudicier, être, etre, préferer, estre"
appartenoit,10,"demeuroit, s'appelloit, ctoit, étoit, portoit, appartient, donnoit, accorda, tenoit, prétendoit"
appartiendra,18,"civils, justiciers, sénéchaux, baillifs, exposant, requis, mandons, resentes, ordonnons, lieutenans, tendante, plaira, plaise, audit, d'iceux, voulons, ordonner, icelles"
appartiennent,11,"reçoivent, appartient, relevent, demeurent, font, lont, iont, entrent, s'attachent, conviennent, dépendent"
appartient,9,"possede, convient, commande, proprieté, accorde, donne, relevent, plaît, depend"
appas,13,"soupirs, ennuis, voeux, souhaits, amants, coeurs, serments, amours, concerts, respects, plaisirs, ardeurs, amans"
appeler,11,"appeller, nommer, épouser, être, êrre, juger, paraître, attendre, entrer, comprendre, douter"
appeliez,7,"appellez, nommez, payez, placez, chargez, employez, ordonnez"
appella,22,"présenta, portoit, reçût, apprit, porta, remit, apporta, commanda, ordonna, entendit, reconnut, attendoit, montra, donna, envoya, reçut, conduisit, marqua, tira, appelloit, demanda, renvoya"
appellant,4,"nevers, demandeurs, bailliage, pardevant"
appelle,15,"nomme, apelle, appelloit, l'appelle, éleve, employe, s'imagine, s'appelle, appellée, appellé, tire, entend, destine, diroit, prétend"
appellent,17,"appelloient, entendent, disent, tirent, enseignent, écrivent, prétendent, parlent, mêlent, portent, rejettent, prennent, croyent, reçoivent, voyent, ignorent, trompent"
appeller,16,"nommer, ctre, êrre, êtrc, fignifier, juger, appliquer, être, étre, s'entendre, conclure, apporter, erre, s'imaginer, attendre, douter"
appellez,13,"nommez, appeliez, portez, trompez, attachez, payez, employez, marquez, occupez, condamnez, chargez, trouvez, opposez"
appelloient,6,"appellent, disoient, servoient, faisoient, enseignent, prétendent"
appelloit,13,"apelle, appelle, nomme, prétendoit, s'appelloit, portoit, appella, voyoit, donnoit, faisoit, entendoit, crût, parloit"
appellons,14,"dirons, tenons, trouverons, regardons, savons, saisions, recevons, jugeons, trouvons, entendons, sentons, disons, voyons, difons"
appellé,16,"nommé, appellée, l'appelle, descendu, nomme, s'appelloit, bâti, tiré, surnommé, établi, nommée, créé, appelloit, choisi, cité, connu"
appellée,11,"nommée, appellé, l'appelle, située, bâtie, s'appelloit, élevée, nomme, fameuse, nommé, s'appelle"
appellées,4,"marquées, coupées, blanches, mêlées"
appelé,7,"marié, nommé, enterré, retiré, surnommé, descendu, appellé"
appercevoir,6,"comprendre, étonner, accommoder, approcher, admirer, expliquer"
apperçoit,4,"éleve, trouve, couvre, pousse"
apperçu,7,"aperçu, rencontré, retourné, jetté, averti, retiré, dérobé"
applicable,16,"d'amende, l'amende, amende, consiscation, contrevenans, confiscation, contrefaits, moitié, lols, scra, contravention, dommages, amendes, vacation, payeront, payera"
application,5,"capacité, invention, idée, étendue, experience"
applique,6,"éleve, explique, employe, appelle, nomme, tire"
appliquer,11,"expliquer, fignifier, accommoder, placer, appeller, conclure, employer, rapporter, ajouter, apporter, êtrc"
appliqué,8,"attaché, employé, contenté, fervi, servi, exprimé, étendu, avisé"
appliquée,7,"jettée, changée, sujette, continuée, unie, attachée, expliquée"
appointemens,10,"pensions, quittances, gages, comptables, augmentations, revenus, assignations, controlleur, fermiers, équipages"
apporta,26,"présenta, donna, reçut, montra, ordonna, remit, apprit, reçût, emporta, manda, porta, tira, appella, renvoya, envoya, donnât, écrivit, donnai, commanda, mena, obtint, marqua, revint, trouva, attendoit, accorda"
apporte,14,"envoye, donne, attend, appelle, tire, donnera, destine, accorde, achete, nomme, prépare, employe, vend, apporta"
apportent,12,"tirent, reçoivent, portent, prennent, perdent, vendent, voyent, s'attachent, mêlent, viennent, profitent, passent"
apporter,19,"envoyer, causer, porter, donner, employer, arriver, fournir, accommoder, entrer, tirer, appliquer, appeller, trouver, attendre, permettre, revenir, ajouter, prendre, esperer"
apportez,7,"partez, préparez, donnez, montrez, envoyez, appeliez, appellez"
apporté,23,"demandé, fourni, quitté, acheté, répondu, appris, amené, tiré, raconté, mandé, oublié, témoigné, rencontré, refusé, reçu, envoyé, donné, apris, volé, laissé, conservé, emprunté, profité"
apportée,7,"trouvée, apporté, envoyée, changée, inventée, demandée, jettée"
apportées,10,"trouvées, marquées, vendues, achetées, payées, données, prises, arrivées, portées, tirées"
apprenant,10,"causoit, marqua, apporta, témoigna, causa, raconta, conta, apprit, montra, manda"
apprend,10,"enseigne, appellons, dirons, trouvons, trouverons, jugeons, voyons, verrons, savons, difons"
apprendre,12,"d'apprendre, enseigner, raconter, comprendre, avertir, écrire, donner, mander, expliquer, imiter, envoyer, préparer"
apprenez,14,"montrez, aimez, expliquez, dites, attendez, savez, sortez, croyez, yous, souvenez, fuyez, laissez, venez, souffrez"
apprennent,10,"appellons, enseignent, jugeons, trouverons, savons, trouvons, fassent, entendent, ignorent, voyons"
apprenons,12,"trouvons, jugeons, recevons, difons, dirons, trouverons, tenons, entendons, appellons, savons, verrons, voyons"
apprentifs,10,"maitres, dudir, veuves, garçons, ecoliers, jurez, métier, compagnon, maîtres, delits"
appris,19,"apris, quitté, répondu, rencontré, commencé, raconté, apporté, oublié, témoigné, mandé, souhaité, demandé, paru, laissé, remarqué, entrepris, entendu, couru, profité"
apprit,25,"raconta, manda, reconnut, arriva, remit, courut, présenta, quitta, apporta, montra, rencontra, conta, reçut, appella, déclara, reçût, vint, demanda, marqua, envoya, trouva, revint, connut, attendoit, écrivit"
approbation,14,"consentement, edition, audience, altesse, epître, confirmation, participation, excellence, recueil, privilege, justification, bibliothèque, permission, preface"
approchant,9,"épais, pointu, enfoncé, épaisse, vîte, creux, ronde, rouge, rond"
approche,4,"couvre, cache, leve, jette"
approchent,9,"s'attachent, plaisent, poussent, craignent, mêlent, deviennent, passent, font, perdent"
approcher,10,"descendre, remuer, sortir, nager, frapper, aborder, passer, lâcher, enfoncer, emporter"
approchez,13,"montrez, priez, sortez, venez, cherchez, attendez, partez, préparez, tenez, apprenez, vivez, fuyez, retournez"
approché,10,"aperçu, rencontré, retourné, amené, quitté, retiré, sauvé, jetté, retirée, fauvé"
approfondir,3,"expliquer, entreprendre, examiner"
approuve,5,"condamne, declare, pretend, croye, approuvé"
