rank,word,drift_1789,drift_moyen
668,charme,0.7018,0.6631
669,d'apparence,0.7017,0.7643
670,var,0.7017,0.6208
671,territoire,0.7016,0.5874
672,finon,0.7016,0.6350
673,lion,0.7016,0.6435
674,spectateurs,0.7014,0.5948
675,tume,0.7012,0.6848
676,débiter,0.7012,0.6669
677,périls,0.7011,0.5999
678,dele,0.7011,0.6558
679,rite,0.7010,0.6825
680,remede,0.7008,0.6332
681,morte,0.7008,0.6663
682,reaux,0.7008,0.5717
683,vies,0.7007,0.6775
684,po,0.7007,0.6352
685,qua,0.7007,0.6060
686,fidéle,0.7006,0.5751
687,mou,0.7005,0.6768
688,cotte,0.7004,0.5942
689,peril,0.7002,0.5914
690,ver,0.7002,0.6782
691,sclon,0.7000,0.6764
692,muni,0.6998,0.7029
693,sc,0.6997,0.7234
694,siéme,0.6997,0.6160
695,ral,0.6995,0.6283
696,caron,0.6993,0.7462
697,utilement,0.6993,0.7350
698,italien,0.6992,0.6407
699,tans,0.6991,0.6847
700,plin,0.6990,0.6061
701,pref,0.6989,0.7641
702,d'é,0.6989,0.6793
703,pea,0.6988,0.6424
704,d'albe,0.6988,0.5815
705,motifs,0.6987,0.5615
706,combattant,0.6985,0.7305
707,rigoureux,0.6983,0.6577
708,ly,0.6982,0.6191
709,ph,0.6982,0.5611
710,d'endroits,0.6982,0.6914
711,gratuit,0.6982,0.6971
712,severe,0.6979,0.5998
713,rufien,0.6979,0.6417
714,fout,0.6979,0.6784
715,tendoit,0.6975,0.6586
716,éloi,0.6975,0.6913
717,séparé,0.6974,0.7692
718,poids,0.6971,0.7052
719,parisis,0.6969,0.6014
720,plu,0.6968,0.6644
721,fes,0.6967,0.4995
722,fée,0.6967,0.6694
723,marquée,0.6964,0.6250
724,s'arrêter,0.6964,0.6294
725,distinctement,0.6963,0.6496
726,ture,0.6963,0.6368
727,tran,0.6961,0.7148
728,cous,0.6961,0.6760
729,repre,0.6960,0.7029
730,obscure,0.6958,0.6066
731,rieux,0.6955,0.6972
732,mar,0.6953,0.6780
733,pru,0.6952,0.6911
734,eû,0.6952,0.4492
735,dij,0.6951,0.6965
736,chirurgiens,0.6951,0.7048
737,secrette,0.6949,0.6070
738,importante,0.6949,0.6052
739,connaissance,0.6949,0.6309
740,imposer,0.6948,0.6040
741,site,0.6944,0.6687
742,exe,0.6944,0.6005
743,dan,0.6942,0.7091
744,proses,0.6940,0.6454
745,l'ecole,0.6939,0.6045
746,trie,0.6938,0.7399
747,caprice,0.6935,0.6661
748,fion,0.6934,0.7377
749,séparément,0.6933,0.7321
750,pie,0.6932,0.6322
751,bres,0.6931,0.6064
752,d'au,0.6925,0.7387
753,importune,0.6924,0.6376
754,neanmoins,0.6924,0.6546
755,tous,0.6923,0.6825
756,amplement,0.6923,0.6408
757,cir,0.6923,0.6784
758,d'autriche,0.6923,0.6664
759,vement,0.6923,0.6472
760,assés,0.6919,0.6378
761,para,0.6919,0.6992
762,l'oraison,0.6917,0.6172
763,corn,0.6916,0.6397
764,agent,0.6916,0.6337
765,rions,0.6915,0.6835
766,l'appel,0.6914,0.5987
767,fié,0.6911,0.7369
768,bale,0.6910,0.6237
769,chi,0.6910,0.6477
770,qu'outre,0.6908,0.6433
771,xii,0.6907,0.6756
772,l'affront,0.6907,0.6955
773,l'impression,0.6906,0.6271
774,fies,0.6904,0.6952
775,xl,0.6902,0.6404
776,perir,0.6902,0.5859
777,souveraines,0.6900,0.7597
778,trans,0.6900,0.6309
779,peutêtre,0.6899,0.6405
780,tile,0.6898,0.6589
781,fendu,0.6898,0.6684
782,jule,0.6897,0.6212
783,maturité,0.6894,0.7048
784,docile,0.6893,0.6623
785,tranquilité,0.6893,0.6558
786,peupler,0.6892,0.6639
787,tif,0.6891,0.6406
788,consiste,0.6889,0.6756
789,efforts,0.6888,0.6735
790,pondre,0.6887,0.6826
791,pretent,0.6886,0.7307
792,transport,0.6886,0.7225
793,scrupuleux,0.6886,0.6897
794,ejl,0.6884,0.5555
795,mel,0.6882,0.6478
796,demeu,0.6879,0.6641
797,l'humeur,0.6878,0.6769
798,dia,0.6875,0.6188
799,ho,0.6875,0.6743
800,consideration,0.6874,0.6534
801,prieres,0.6873,0.5888
802,em,0.6872,0.7359
803,auifi,0.6872,0.7632
804,pardevant,0.6872,0.6149
805,pluralité,0.6871,0.6502
806,commue,0.6870,0.6142
