word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,cosine_distance_camembert,cosine_similarity_camembert,cosine_distance_dalembert,cosine_similarity_dalembert
enfuit,1710-1720,1789-1802,0.84286,0.15714,176,134,5700,0.018737,0.981263,0.048873,0.951127
propres,1700-1710,1710-1720,0.84283,0.15717,2521,2734,5717,0.015372,0.984628,0.027825,0.972175
rence,1730-1740,1770-1780,0.842768,0.157232,308,827,5676,0.017058,0.982942,0.038571,0.961429
retraite,1740-1750,1789-1802,0.841751,0.158249,1700,10075,5701,0.060176,0.939824,0.062813,0.937187
maturité,1700-1710,1730-1740,0.841593,0.158407,189,152,5682,0.05559,0.94441,0.038865,0.961135
couvent,1700-1710,1720-1730,0.841001,0.158999,218,976,5698,0.064511,0.935489,0.03874,0.96126
séance,1700-1710,1710-1720,0.840327,0.159673,327,532,5671,0.024982,0.975018,0.055095,0.944905
favorable,1730-1740,1760-1770,0.840224,0.159776,1754,2990,5716,0.021189,0.978811,0.017572,0.982428
maître,1700-1710,1730-1740,0.839969,0.160031,3414,8102,5715,0.012479,0.987521,0.020673,0.979327
porté,1710-1720,1720-1730,0.839878,0.160122,1786,1822,5716,0.013145,0.986855,0.019622,0.980378
excellence,1710-1720,1770-1780,0.839505,0.160495,319,728,5707,0.016647,0.983353,0.026165,0.973835
beau,1700-1710,1750-1760,0.839381,0.160619,3316,9354,5715,0.009174,0.990826,0.016411,0.983589
anglais,1710-1720,1730-1740,0.839119,0.160881,522,405,5681,0.05403,0.94597,0.03958,0.96042
olivier,1700-1710,1789-1802,0.838873,0.161127,69,1642,5684,0.028731,0.971269,0.044235,0.955765
morte,1700-1710,1740-1750,0.838845,0.161155,489,857,5701,0.009188,0.990812,0.01622,0.98378
arme,1720-1730,1730-1740,0.838303,0.161697,344,221,5693,0.018745,0.981255,0.025041,0.974959
ser,1710-1720,1789-1802,0.838129,0.161871,317,2745,5695,0.013418,0.986582,0.024608,0.975392
ferme,1720-1730,1730-1740,0.837958,0.162042,1909,2425,5717,0.008203,0.991797,0.012797,0.987203
monsieur,1720-1730,1740-1750,0.837831,0.162169,4909,17674,5712,0.011948,0.988052,0.021996,0.978004
mesure,1700-1710,1720-1730,0.837688,0.162312,856,1055,5716,0.026593,0.973407,0.028722,0.971278
conti,1700-1710,1789-1802,0.837132,0.162868,376,1022,5691,0.031518,0.968482,0.126024,0.873976
dés,1700-1710,1770-1780,0.836746,0.163254,2126,2155,5706,0.039121,0.960879,0.085693,0.914307
incertain,1730-1740,1760-1770,0.836745,0.163255,398,632,5703,0.010977,0.989023,0.019509,0.980491
chemins,1720-1730,1740-1750,0.835833,0.164167,2722,1687,5698,0.020136,0.979864,0.03116,0.96884
quittant,1710-1720,1730-1740,0.835287,0.164713,143,309,5687,0.021588,0.978412,0.016146,0.983854
xiv,1730-1740,1750-1760,0.835059,0.164941,2978,3746,5717,0.037517,0.962483,0.050765,0.949235
portée,1740-1750,1750-1760,0.834735,0.165265,1962,2550,5713,0.023953,0.976047,0.030975,0.969025
créé,1750-1760,1760-1770,0.834425,0.165575,687,1073,5690,0.007053,0.992947,0.015484,0.984516
conclusion,1710-1720,1789-1802,0.83431,0.16569,379,922,5694,0.014012,0.985988,0.019778,0.980222
raisonner,1740-1750,1750-1760,0.834177,0.165823,371,572,5689,0.019996,0.980004,0.014279,0.985721
dem,1700-1710,1780-1789,0.833904,0.166096,753,1462,5690,0.025202,0.974798,0.068397,0.931603
actes,1750-1760,1770-1780,0.833696,0.166304,1212,2450,5707,0.021334,0.978666,0.02489,0.97511
composition,1710-1720,1740-1750,0.833401,0.166599,518,734,5709,0.017266,0.982734,0.019407,0.980593
trait,1730-1740,1740-1750,0.832895,0.167105,1285,1171,5711,0.009058,0.990942,0.013537,0.986463
faute,1700-1710,1720-1730,0.832806,0.167194,1828,2539,5715,0.010465,0.989535,0.017595,0.982405
effets,1710-1720,1760-1770,0.832778,0.167222,1645,9022,5719,0.010581,0.989419,0.021444,0.978556
objet,1710-1720,1740-1750,0.832544,0.167456,1227,2616,5717,0.010329,0.989671,0.014894,0.985106
partager,1760-1770,1789-1802,0.832298,0.167702,1730,2459,5706,0.007181,0.992819,0.012511,0.987489
pro,1730-1740,1789-1802,0.832206,0.167794,8334,15669,5716,0.019909,0.980091,0.06067,0.93933
mêler,1760-1770,1780-1789,0.831383,0.168617,1141,1473,5697,0.021388,0.978612,0.017924,0.982076
minutes,1710-1720,1720-1730,0.830966,0.169034,266,429,5696,0.024371,0.975629,0.041999,0.958001
assemblé,1710-1720,1770-1780,0.830937,0.169063,109,426,5677,0.009943,0.990057,0.02101,0.97899
dangereux,1750-1760,1770-1780,0.830725,0.169275,2003,4317,5706,0.010432,0.989568,0.014997,0.985003
con,1720-1730,1789-1802,0.83032,0.16968,8635,28808,5717,0.012216,0.987784,0.025336,0.974664
parfait,1710-1720,1750-1760,0.830173,0.169827,772,2002,5707,0.008772,0.991228,0.015393,0.984607
naturels,1760-1770,1780-1789,0.830024,0.169976,1596,2324,5702,0.014193,0.985807,0.020118,0.979882
retenue,1740-1750,1789-1802,0.829899,0.170101,388,4443,5696,0.060766,0.939234,0.064143,0.935857
dant,1710-1720,1740-1750,0.829791,0.170209,582,1422,5701,0.013219,0.986781,0.028834,0.971166
levant,1750-1760,1760-1770,0.829699,0.170301,1531,2292,5701,0.007738,0.992262,0.015877,0.984123
territoire,1710-1720,1789-1802,0.82952,0.17048,447,4519,5687,0.028481,0.971519,0.026249,0.973751
douteux,1700-1710,1720-1730,0.829274,0.170726,90,172,5693,0.016641,0.983359,0.023774,0.976226
plier,1770-1780,1789-1802,0.82923,0.17077,871,612,5676,0.009899,0.990101,0.015275,0.984725
conseillers,1710-1720,1730-1740,0.828973,0.171027,1551,982,5685,0.018125,0.981875,0.023469,0.976531
cle,1710-1720,1789-1802,0.828383,0.171617,877,2159,5692,0.019859,0.980141,0.065162,0.934838
