word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree
devait,1720-1730,1740-1750,0.280913,0.719087,327,275,5670
pleurs,1720-1730,1740-1750,0.278554,0.721446,472,994,5700
puissent,1710-1720,1730-1740,0.277822,0.722178,1522,1495,5711
serois,1710-1720,1730-1740,0.275196,0.724804,177,441,5679
pourriez,1710-1720,1720-1730,0.270809,0.729191,146,123,5680
pourrait,1720-1730,1740-1750,0.265306,0.734694,334,387,5690
aurait,1700-1710,1780-1789,0.264629,0.735371,432,2711,5690
ayent,1710-1720,1730-1740,0.25309,0.74691,1687,1457,5696
fussent,1710-1720,1740-1750,0.252281,0.747719,1223,1638,5710
devroient,1710-1720,1730-1740,0.248749,0.751251,220,341,5692
fallait,1720-1730,1730-1740,0.246945,0.753055,338,412,5648
pussent,1700-1710,1710-1720,0.240244,0.759756,154,302,5686
pourroient,1700-1710,1710-1720,0.238969,0.761031,917,1647,5706
devroit,1700-1710,1710-1720,0.229866,0.770134,471,592,5701
devoient,1700-1710,1710-1720,0.178736,0.821264,545,952,5693
